Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AR-087,Madison County,56.95,108,9.32,47.63
AR-089,Marion County,52.08,109,9.09,42.99
AR-091,Miller County,63.95,118,15,48.95
AR-093,Mississippi County,67.87,123,19.3,48.57
AR-095,Monroe County,57.43,101,6.82,50.61
AR-097,Montgomery County,72,118,19.53,52.47
AR-099,Nevada County,68.92,118,17.83,51.09
AR-101,Newton County,59.88,111,11.68,48.2
AR-103,Ouachita County,72.24,121,20.85,51.39
AR-105,Perry County,69.52,123,20.48,49.04
AR-107,Phillips County,64.64,113,12.86,51.78
AR-109,Pike County,71.61,116,18.68,52.93
AR-111,Poinsett County,71.06,124,21.92,49.14
AR-113,Polk County,69.11,115,16.32,52.79
AR-115,Pope County,63.83,116,14.43,49.4
AR-117,Prairie County,61.74,114,11.6,50.14
AR-119,Pulaski County,76.06,125,25.33,50.73
AR-121,Randolph County,58.79,110,11.59,47.2
AR-123,St. Francis County,68.21,120,17.28,50.93
AR-125,Saline County,75.82,123,23.62,52.2
AR-127,Scott County,68.75,121,20.37,48.38
AR-129,Searcy County,59.08,111,12.62,46.46
AR-131,Sebastian County,67.44,123,22.03,45.41
AR-133,Sevier County,70.49,118,19.9,50.59
AR-135,Sharp County,57.47,110,10.51,46.96
AR-137,Stone County,61.51,115,13.88,47.63
AR-139,Union County,70.27,118,18.01,52.26
AR-141,Van Buren County,65.8,116,15.22,50.58
AR-143,Washington County,50.84,86,3.81,47.03
AR-145,White County,69.86,123,19.6,50.26
AR-147,Woodruff County,64.11,116,14.15,49.96
AR-149,Yell County,66.57,120,18.27,48.3
CA-001,Alameda County,16.02,39,-2.72,18.74
CA-003,Alpine County,36.72,74,0.53,36.19
CA-005,Amador County,36.59,76,1.37,35.22
CA-007,Butte County,40.33,49,-4.05,44.38
CA-009,Calaveras County,35.05,74,0.8,34.25
CA-011,Colusa County,20.23,48,-1.75,21.98
CA-013,Contra Costa County,18.16,60,-0.31,18.47
CA-015,Del Norte County,54.7,11,-25.46,80.16
CA-017,El Dorado County,44.34,67,-0.31,44.65
CA-019,Fresno County,18.78,62,-0.82,19.6
CA-021,Glenn County,23.17,46,-2.69,25.86
CA-023,Humboldt County,49.8,25,-13.71,63.51
