Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,64.7,94,0.8,63.9
AL-003,Baldwin County,67.9,104,1.1,66.8
AL-005,Barbour County,66,104,1.2,64.8
AL-007,Bibb County,63.2,83,0.5,62.7
AL-009,Blount County,62,106,1.4,60.6
AL-011,Bullock County,65.4,102,1.2,64.2
AL-013,Butler County,65.6,97,1,64.6
AL-015,Calhoun County,62.5,109,1.5,61
AL-017,Chambers County,62.5,97,1,61.5
AL-019,Cherokee County,61.9,104,1.3,60.6
AL-021,Chilton County,62.9,74,0.2,62.7
AL-023,Choctaw County,65.5,99,1,64.5
AL-025,Clarke County,65.8,100,0.9,64.9
AL-027,Clay County,61.7,100,1,60.7
AL-029,Cleburne County,61.8,114,1.9,59.9
AL-031,Coffee County,66.2,93,0.8,65.4
AL-033,Colbert County,60.9,96,0.9,60
AL-035,Conecuh County,65.8,86,0.4,65.4
AL-037,Coosa County,62.8,85,0.6,62.2
AL-039,Covington County,66.1,88,0.6,65.5
AL-041,Crenshaw County,65.4,97,1,64.4
AL-043,Cullman County,61.3,95,1,60.3
AL-045,Dale County,66.6,97,0.9,65.7
AL-047,Dallas County,65.2,92,0.8,64.4
AL-049,DeKalb County,60.3,98,1,59.3
AL-051,Elmore County,64.8,97,1,63.8
AL-053,Escambia County,66.4,85,0.4,66
AL-055,Etowah County,62.2,105,1.3,60.9
AL-057,Fayette County,63.2,105,1.3,61.9
AL-059,Franklin County,60.7,91,0.8,59.9
AL-061,Geneva County,66.9,95,0.8,66.1
AL-063,Greene County,64.3,84,0.4,63.9
AL-065,Hale County,64.2,85,0.5,63.7
AL-067,Henry County,66.9,106,1.2,65.7
AL-069,Houston County,67.5,103,1.1,66.4
AL-071,Jackson County,60.4,96,1,59.4
AL-073,Jefferson County,63,102,1.2,61.8
AL-075,Lamar County,63.7,111,1.6,62.1
AL-077,Lauderdale County,60.6,98,1.1,59.5
AL-079,Lawrence County,60.6,82,0.5,60.1
AL-081,Lee County,63.8,90,0.9,62.9
AL-083,Limestone County,61,100,1.1,59.9
AL-085,Lowndes County,65.9,102,1.3,64.6
AL-087,Macon County,65.1,99,1.1,64
AL-089,Madison County,61.1,103,1.2,59.9
AL-091,Marengo County,65,88,0.7,64.3
AL-093,Marion County,61.7,94,1,60.7
AL-095,Marshall County,61.6,102,1.3,60.3
AL-097,Mobile County,67.7,106,1.2,66.5
AL-099,Monroe County,66.1,96,1,65.1
AL-101,Montgomery County,66,108,1.5,64.5
AL-103,Morgan County,61.2,93,1,60.2
AL-105,Perry County,64.2,88,0.6,63.6
AL-107,Pickens County,64.3,105,1.2,63.1
AL-109,Pike County,65.5,94,0.8,64.7
AL-111,Randolph County,61.8,105,1.3,60.5
AL-113,Russell County,65,90,0.8,64.2
AL-115,St. Clair County,62.5,106,1.3,61.2
AL-117,Shelby County,62.9,93,0.9,62
AL-119,Sumter County,64.8,91,0.8,64
