Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,58.28,99,4.55,53.73
AL-003,Baldwin County,74.08,108,11.81,62.27
AL-005,Barbour County,51,60,-1.52,52.52
AL-007,Bibb County,53.04,56,-2.39,55.43
AL-009,Blount County,57.41,75,1.59,55.82
AL-011,Bullock County,55.23,85,2.96,52.27
AL-013,Butler County,61.23,93,5.3,55.93
AL-015,Calhoun County,53.71,71,0.12,53.59
AL-017,Chambers County,53.28,68,-0.22,53.5
AL-019,Cherokee County,54.53,73,0.8,53.73
AL-021,Chilton County,55.73,80,1.33,54.4
AL-023,Choctaw County,53.86,47,-3.28,57.14
AL-025,Clarke County,66.25,104,8.07,58.18
AL-027,Clay County,61.65,97,5.6,56.05
AL-029,Cleburne County,57.04,81,2.91,54.13
AL-031,Coffee County,58.97,82,2.5,56.47
AL-033,Colbert County,52.88,62,-0.85,53.73
AL-035,Conecuh County,61.57,87,3.33,58.24
AL-037,Coosa County,59.82,98,4.99,54.83
AL-039,Covington County,60.04,75,1.14,58.9
AL-041,Crenshaw County,62.66,102,7.07,55.59
AL-043,Cullman County,56.27,67,-0.05,56.32
AL-045,Dale County,56.69,77,2.02,54.67
AL-047,Dallas County,51.4,63,-1.63,53.03
AL-049,DeKalb County,59.72,87,4.08,55.64
AL-051,Elmore County,62.64,110,8.99,53.65
AL-053,Escambia County,66.63,98,5.92,60.71
AL-055,Etowah County,54.07,63,-0.58,54.65
AL-057,Fayette County,52.04,43,-4.49,56.53
AL-059,Franklin County,56.5,74,1.6,54.9
AL-061,Geneva County,52.71,47,-4.76,57.47
AL-063,Greene County,52.55,66,-0.65,53.2
AL-065,Hale County,48.44,40,-5.52,53.96
AL-067,Henry County,48.92,44,-4.67,53.59
AL-069,Houston County,50.19,48,-4.21,54.4
AL-071,Jackson County,61.36,96,6.52,54.84
AL-073,Jefferson County,57.67,78,1.89,55.78
AL-075,Lamar County,49.24,38,-5.93,55.17
AL-077,Lauderdale County,51.85,54,-2.33,54.18
AL-079,Lawrence County,52.2,60,-1.4,53.6
AL-081,Lee County,53.13,70,0.66,52.47
AL-083,Limestone County,53.11,64,-0.78,53.89
AL-085,Lowndes County,60.04,107,7.46,52.58
AL-087,Macon County,55.03,88,3.13,51.9
AL-089,Madison County,56.63,80,2.13,54.5
AL-091,Marengo County,48.66,33,-5.75,54.41
AL-093,Marion County,55.06,60,-0.75,55.81
AL-095,Marshall County,55.08,66,0.52,54.56
AL-097,Mobile County,72.83,106,9.95,62.88
AL-099,Monroe County,64.59,103,7.1,57.49
AL-101,Montgomery County,61.89,112,9.55,52.34
AL-103,Morgan County,51.87,58,-2.28,54.15
AL-105,Perry County,48.93,43,-4.86,53.79
AL-107,Pickens County,49.84,50,-3.79,53.63
AL-109,Pike County,64.7,110,10.08,54.62
AL-111,Randolph County,57.35,81,2.45,54.9
AL-113,Russell County,44.71,38,-5.32,50.03
AL-115,St. Clair County,58.65,84,3.3,55.35
AL-117,Shelby County,58.46,84,3.35,55.11
AL-119,Sumter County,49.99,46,-4.38,54.37
AL-121,Talladega County,59.66,96,5.75,53.91
AL-123,Tallapoosa County,53.84,67,-0.56,54.4
AL-125,Tuscaloosa County,51.3,48,-4.37,55.67
AL-127,Walker County,51.13,42,-5.67,56.8
AL-129,Washington County,71.18,106,11.17,60.01
AL-131,Wilcox County,59.44,94,4.95,54.49
AL-133,Winston County,55.66,57,-0.99,56.65
AZ-001,Apache County,8.02,5,-5.41,13.43
AZ-003,Cochise County,9.19,5,-5.37,14.56
AZ-005,Coconino County,9.32,11,-4.24,13.56
AZ-007,Gila County,11.13,2,-9.55,20.68
AZ-009,Graham County,8.16,2,-7.03,15.19
AZ-011,Greenlee County,9.38,3,-7.37,16.75
AZ-012,La Paz County,4.2,31,-1.76,5.96
AZ-013,Maricopa County,5.46,9,-3.77,9.23
AZ-015,Mohave County,8.23,35,-2.32,10.55
AZ-017,Navajo County,7.46,6,-4.88,12.34
AZ-019,Pima County,6.84,3,-5.61,12.45
AZ-021,Pinal County,6.89,5,-5.6,12.49
AZ-023,Santa Cruz County,11.28,2,-7.08,18.36
AZ-025,Yavapai County,11.41,20,-4.8,16.21
AZ-027,Yuma County,3.21,27,-1.66,4.87
AR-001,Arkansas County,41.55,20,-9.51,51.06
AR-003,Ashley County,49.91,53,-3.21,53.12
AR-005,Baxter County,48.55,92,5.13,43.42
AR-007,Benton County,50.95,94,5.67,45.28
AR-009,Boone County,44.63,77,0.96,43.67
AR-011,Bradley County,49.87,56,-2.18,52.05
AR-013,Calhoun County,51.46,65,-0.22,51.68
AR-015,Carroll County,45.53,80,0.88,44.65
AR-017,Chicot County,51.52,61,-1.49,53.01
AR-019,Clark County,47.94,42,-3.64,51.58
AR-021,Clay County,46.89,55,-0.92,47.81
AR-023,Cleburne County,54.94,89,4.87,50.07
AR-025,Cleveland County,53,77,1.39,51.61
AR-027,Columbia County,47.3,48,-3.84,51.14
AR-029,Conway County,52.9,89,3.84,49.06
AR-031,Craighead County,49.59,71,1.07,48.52
AR-033,Crawford County,53.47,92,5.81,47.66
AR-035,Crittenden County,53.06,76,3.04,50.02
AR-037,Cross County,57.41,98,7.03,50.38
AR-039,Dallas County,52.8,81,1.48,51.32
