Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,67,126,3.1,63.9
AL-003,Baldwin County,69.1,125,2.3,66.8
AL-005,Barbour County,67.2,125,2.4,64.8
AL-007,Bibb County,65.2,123,2.4,62.8
AL-009,Blount County,63.9,125,3.2,60.7
AL-011,Bullock County,66.8,125,2.6,64.2
AL-013,Butler County,67.4,126,2.9,64.5
AL-015,Calhoun County,64.1,125,3.2,60.9
AL-017,Chambers County,64.2,125,2.7,61.5
AL-019,Cherokee County,63.2,124,2.6,60.6
AL-021,Chilton County,65.4,125,2.7,62.7
AL-023,Choctaw County,66.7,124,2.2,64.5
AL-025,Clarke County,67.2,124,2.3,64.9
AL-027,Clay County,63.4,125,2.7,60.7
AL-029,Cleburne County,63.1,125,3.2,59.9
AL-031,Coffee County,68.1,126,2.7,65.4
AL-033,Colbert County,62.5,125,2.5,60
AL-035,Conecuh County,68.1,125,2.7,65.4
AL-037,Coosa County,64.9,124,2.7,62.2
AL-039,Covington County,68.1,126,2.5,65.6
AL-041,Crenshaw County,67,124,2.6,64.4
AL-043,Cullman County,63.3,125,3,60.3
AL-045,Dale County,68.3,126,2.6,65.7
AL-047,Dallas County,67.3,126,3,64.3
AL-049,DeKalb County,61.5,122,2.3,59.2
AL-051,Elmore County,66.6,125,2.8,63.8
AL-053,Escambia County,68.6,126,2.6,66
AL-055,Etowah County,63.8,125,2.9,60.9
AL-057,Fayette County,64.1,121,2.1,62
AL-059,Franklin County,62.3,124,2.3,60
AL-061,Geneva County,68.7,126,2.6,66.1
AL-063,Greene County,65.4,115,1.6,63.8
AL-065,Hale County,65.5,117,1.8,63.7
AL-067,Henry County,68.2,124,2.5,65.7
AL-069,Houston County,69.3,126,2.8,66.5
AL-071,Jackson County,61.4,119,2,59.4
AL-073,Jefferson County,64.8,124,3,61.8
AL-075,Lamar County,64.2,120,2.1,62.1
AL-077,Lauderdale County,62.2,125,2.7,59.5
AL-079,Lawrence County,62.1,121,2,60.1
AL-081,Lee County,65.5,126,2.5,63
AL-083,Limestone County,62.7,125,2.8,59.9
AL-085,Lowndes County,67.7,125,3.1,64.6
AL-087,Macon County,66.5,124,2.5,64
AL-089,Madison County,62.5,124,2.5,60
AL-091,Marengo County,66.2,119,1.9,64.3
AL-093,Marion County,62.8,121,2.1,60.7
AL-095,Marshall County,63,124,2.6,60.4
AL-097,Mobile County,69.1,125,2.7,66.4
AL-099,Monroe County,68.2,126,3.1,65.1
AL-101,Montgomery County,67.5,125,3,64.5
AL-103,Morgan County,62.9,124,2.7,60.2
AL-105,Perry County,66,124,2.4,63.6
AL-107,Pickens County,65.2,121,2.1,63.1
AL-109,Pike County,67.1,124,2.4,64.7
AL-111,Randolph County,63.4,125,3,60.4
