Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,48.39,36,-5.34,53.73
AL-003,Baldwin County,57.1,40,-5.17,62.27
AL-005,Barbour County,47.66,39,-4.86,52.52
AL-007,Bibb County,53.28,58,-2.15,55.43
AL-009,Blount County,64.64,106,8.82,55.82
AL-011,Bullock County,48.05,43,-4.22,52.27
AL-013,Butler County,49.04,26,-6.89,55.93
AL-015,Calhoun County,58.46,91,4.87,53.59
AL-017,Chambers County,56.1,84,2.6,53.5
AL-019,Cherokee County,61.63,103,7.9,53.73
AL-021,Chilton County,48.25,33,-6.15,54.4
AL-023,Choctaw County,59.44,87,2.3,57.14
AL-025,Clarke County,50.47,23,-7.71,58.18
AL-027,Clay County,59.97,87,3.92,56.05
AL-029,Cleburne County,54.7,66,0.57,54.13
AL-031,Coffee County,44.32,12,-12.15,56.47
AL-033,Colbert County,74.29,124,20.56,53.73
AL-035,Conecuh County,55.41,51,-2.83,58.24
AL-037,Coosa County,53.23,64,-1.6,54.83
AL-039,Covington County,48.97,17,-9.93,58.9
AL-041,Crenshaw County,48.3,28,-7.29,55.59
AL-043,Cullman County,67.65,115,11.33,56.32
AL-045,Dale County,44.54,16,-10.13,54.67
AL-047,Dallas County,44.93,20,-8.1,53.03
AL-049,DeKalb County,64.22,101,8.58,55.64
AL-051,Elmore County,50.2,50,-3.45,53.65
AL-053,Escambia County,56.06,42,-4.65,60.71
AL-055,Etowah County,65.29,111,10.64,54.65
AL-057,Fayette County,80.22,125,23.69,56.53
AL-059,Franklin County,78.4,125,23.5,54.9
AL-061,Geneva County,44.53,11,-12.94,57.47
AL-063,Greene County,64.14,109,10.94,53.2
AL-065,Hale County,59.27,97,5.31,53.96
AL-067,Henry County,45.73,31,-7.86,53.59
AL-069,Houston County,42.79,14,-11.61,54.4
AL-071,Jackson County,66.32,113,11.48,54.84
AL-073,Jefferson County,54.37,58,-1.41,55.78
AL-075,Lamar County,79.37,125,24.2,55.17
AL-077,Lauderdale County,73.24,123,19.06,54.18
AL-079,Lawrence County,71.3,125,17.7,53.6
AL-081,Lee County,52.97,68,0.5,52.47
AL-083,Limestone County,69.01,118,15.12,53.89
AL-085,Lowndes County,47.03,31,-5.55,52.58
AL-087,Macon County,49.27,51,-2.63,51.9
AL-089,Madison County,68.99,118,14.49,54.5
AL-091,Marengo County,47.85,30,-6.56,54.41
