Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
KS-035,Cowley County,45.8,88,0.7,45.1
KS-037,Crawford County,46.9,97,1,45.9
KS-039,Decatur County,38.1,84,0.7,37.4
KS-041,Dickinson County,43.8,99,1.4,42.4
KS-043,Doniphan County,42.8,83,0.6,42.2
KS-045,Douglas County,44.8,99,1.2,43.6
KS-047,Edwards County,41.7,54,0,41.7
KS-049,Elk County,46.1,100,1.2,44.9
KS-051,Ellis County,40.2,60,0,40.2
KS-053,Ellsworth County,42.5,61,0,42.5
KS-055,Finney County,39.4,63,0.1,39.3
KS-057,Ford County,41.3,74,0.2,41.1
KS-059,Franklin County,45.5,108,1.5,44
KS-061,Geary County,43.8,104,1.8,42
KS-063,Gove County,39,75,0.3,38.7
KS-065,Graham County,39.2,55,0,39.2
KS-067,Grant County,39.8,58,0,39.8
KS-069,Gray County,40.3,56,0,40.3
KS-071,Greeley County,37,22,-0.9,37.9
KS-073,Greenwood County,45.2,101,1.3,43.9
KS-075,Hamilton County,37.8,11,-1.5,39.3
KS-077,Harper County,45.5,89,0.9,44.6
KS-079,Harvey County,44.6,94,1.1,43.5
KS-081,Haskell County,40.2,73,0.2,40
KS-083,Hodgeman County,40.9,71,0.2,40.7
KS-085,Jackson County,42.9,103,1.5,41.4
KS-087,Jefferson County,44.2,107,1.7,42.5
KS-089,Jewell County,40.6,95,1.2,39.4
KS-091,Johnson County,44.9,97,1.1,43.8
KS-093,Kearny County,38.7,37,-0.5,39.2
KS-095,Kingman County,44.2,73,0.3,43.9
KS-097,Kiowa County,42.5,76,0.3,42.2
KS-099,Labette County,47.4,98,0.9,46.5
KS-101,Lane County,39.2,76,0.6,38.6
KS-103,Leavenworth County,44.6,102,1.6,43
KS-105,Lincoln County,41.7,73,0.1,41.6
KS-107,Linn County,46.3,104,1.4,44.9
KS-109,Logan County,38.4,63,0.1,38.3
KS-111,Lyon County,43.7,86,0.8,42.9
KS-113,McPherson County,43.8,83,0.5,43.3
KS-115,Marion County,44,93,0.9,43.1
KS-117,Marshall County,40.6,67,0.3,40.3
KS-119,Meade County,42,48,-0.2,42.2
KS-121,Miami County,45.6,103,1.4,44.2
KS-123,Mitchell County,40.9,74,0.3,40.6
KS-125,Montgomery County,47.5,100,1,46.5
KS-127,Morris County,43.3,95,1.1,42.2
KS-129,Morton County,40.4,76,0.2,40.2
KS-131,Nemaha County,41.3,95,1.1,40.2
KS-133,Neosho County,46.8,102,1.1,45.7
KS-135,Ness County,40.3,66,0.2,40.1
KS-137,Norton County,38.2,69,0,38.2
KS-139,Osage County,44.8,103,1.7,43.1
KS-141,Osborne County,40.3,77,0.4,39.9
KS-143,Ottawa County,43,89,1,42
KS-145,Pawnee County,41.3,32,-0.6,41.9
KS-147,Phillips County,39.4,82,0.6,38.8
KS-149,Pottawatomie County,42.9,102,1.5,41.4
KS-151,Pratt County,43.1,50,-0.3,43.4
KS-153,Rawlins County,37.4,78,0.3,37.1
KS-155,Reno County,43.7,71,0.2,43.5
KS-157,Republic County,41.1,92,1.2,39.9
KS-159,Rice County,42.8,57,-0.2,43
KS-161,Riley County,43.2,104,1.6,41.6
KS-163,Rooks County,39.7,58,0,39.7
KS-165,Rush County,40.6,42,-0.4,41
KS-167,Russell County,41.3,77,0.3,41
KS-169,Saline County,43.7,90,0.9,42.8
KS-171,Scott County,38.9,79,0.5,38.4
KS-173,Sedgwick County,45.5,96,1.2,44.3
KS-175,Seward County,41.5,74,0.3,41.2
KS-177,Shawnee County,44.2,106,1.6,42.6
KS-179,Sheridan County,38.6,79,0.5,38.1
KS-181,Sherman County,37.2,74,0.4,36.8
KS-183,Smith County,39.7,84,0.7,39
KS-185,Stafford County,42.2,33,-0.6,42.8
KS-187,Stanton County,39.3,39,-0.4,39.7
KS-189,Stevens County,41,84,0.6,40.4
KS-191,Sumner County,46.3,100,1.1,45.2
KS-193,Thomas County,37.6,73,0.3,37.3
KS-195,Trego County,39.7,55,0,39.7
KS-197,Wabaunsee County,43.7,100,1.4,42.3
KS-199,Wallace County,37.6,45,-0.2,37.8
KS-201,Washington County,41,83,0.8,40.2
KS-203,Wichita County,38,41,-0.3,38.3
KS-205,Wilson County,47.1,107,1.4,45.7
KS-207,Woodson County,46,104,1.4,44.6
KS-209,Wyandotte County,44.9,102,1.4,43.5
KY-001,Adair County,48.6,125,4.7,43.9
KY-003,Allen County,47.6,117,2.3,45.3
KY-005,Anderson County,46.5,124,3,43.5
KY-007,Ballard County,48.7,116,2.1,46.6
KY-009,Barren County,46.8,116,2.1,44.7
KY-011,Bath County,45.2,118,2.4,42.8
KY-013,Bell County,45.7,124,2.5,43.2
KY-015,Boone County,46.5,123,3.4,43.1
KY-017,Bourbon County,45.9,124,3.2,42.7
KY-019,Boyd County,45.9,124,3.4,42.5
KY-021,Boyle County,45.9,117,2.2,43.7
KY-023,Bracken County,45.2,121,2.8,42.4
KY-025,Breathitt County,46.1,117,2.1,44
KY-027,Breckinridge County,45.6,111,1.9,43.7
KY-029,Bullitt County,47,119,2.5,44.5
KY-031,Butler County,46.9,104,1.5,45.4
KY-033,Caldwell County,48.1,110,1.8,46.3
KY-035,Calloway County,49,117,2.2,46.8
KY-037,Campbell County,46.2,121,3.1,43.1
KY-039,Carlisle County,48.8,114,2,46.8
KY-041,Carroll County,47.3,124,3.9,43.4
KY-043,Carter County,44.6,124,3.1,41.5
KY-045,Casey County,47.2,125,3.7,43.5
KY-047,Christian County,49.5,124,3.1,46.4
KY-049,Clark County,46.3,123,3.1,43.2
