Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,76.6,98,1,75.6
AL-003,Baldwin County,78.3,98,1,77.3
AL-005,Barbour County,76.9,86,0.5,76.4
AL-007,Bibb County,75.4,85,0.7,74.7
AL-009,Blount County,72.8,75,0.1,72.7
AL-011,Bullock County,76.6,90,0.8,75.8
AL-013,Butler County,77.5,97,1,76.5
AL-015,Calhoun County,74.3,105,1.2,73.1
AL-017,Chambers County,74.6,91,0.5,74.1
AL-019,Cherokee County,72.8,74,0.2,72.6
AL-021,Chilton County,75.1,82,0.3,74.8
AL-023,Choctaw County,77.5,98,0.9,76.6
AL-025,Clarke County,77.4,87,0.5,76.9
AL-027,Clay County,73.8,97,0.6,73.2
AL-029,Cleburne County,73.7,108,1.6,72.1
AL-031,Coffee County,78,97,0.9,77.1
AL-033,Colbert County,72.9,84,0.6,72.3
AL-035,Conecuh County,78,90,0.5,77.5
AL-037,Coosa County,74.8,78,0.2,74.6
AL-039,Covington County,78.4,90,0.7,77.7
AL-041,Crenshaw County,77.4,97,0.9,76.5
AL-043,Cullman County,71.9,39,-0.7,72.6
AL-045,Dale County,77.9,97,0.9,77
AL-047,Dallas County,77.3,109,1.6,75.7
AL-049,DeKalb County,70.2,53,-0.2,70.4
AL-051,Elmore County,76.4,92,0.6,75.8
AL-053,Escambia County,78.4,82,0.4,78
AL-055,Etowah County,73.2,92,0.7,72.5
AL-057,Fayette County,74.5,85,0.6,73.9
AL-059,Franklin County,72.5,80,0.5,72
AL-061,Geneva County,78.9,103,1.2,77.7
AL-063,Greene County,76,93,0.7,75.3
AL-065,Hale County,76.1,97,1,75.1
AL-067,Henry County,77.8,96,0.9,76.9
AL-069,Houston County,78.9,103,1.2,77.7
AL-071,Jackson County,70.5,53,-0.2,70.7
AL-073,Jefferson County,74.9,94,1,73.9
AL-075,Lamar County,74.5,82,0.5,74
AL-077,Lauderdale County,72.4,78,0.4,72
AL-079,Lawrence County,72.4,73,0.2,72.2
AL-081,Lee County,75.3,75,0.2,75.1
AL-083,Limestone County,72,70,0.1,71.9
AL-085,Lowndes County,77.6,105,1.4,76.2
AL-087,Macon County,76.3,83,0.3,76
AL-089,Madison County,71.8,69,0,71.8
AL-091,Marengo County,77.3,105,1.4,75.9
AL-093,Marion County,72.9,66,0.2,72.7
AL-095,Marshall County,71.7,71,0.2,71.5
AL-097,Mobile County,78.7,115,1.6,77.1
AL-099,Monroe County,77.9,94,0.9,77
AL-101,Montgomery County,77.7,108,1.4,76.3
AL-103,Morgan County,72,58,-0.2,72.2
AL-105,Perry County,76.4,105,1.4,75
AL-107,Pickens County,75.4,87,0.6,74.8
AL-109,Pike County,76.8,81,0.5,76.3
AL-111,Randolph County,74.1,103,1.1,73
AL-113,Russell County,76.7,89,0.5,76.2
AL-115,St. Clair County,74.2,92,0.8,73.4
AL-117,Shelby County,75,91,0.7,74.3
AL-119,Sumter County,76.9,102,1.3,75.6
AL-121,Talladega County,74.9,91,0.6,74.3
AL-123,Tallapoosa County,75,77,0.1,74.9
AL-125,Tuscaloosa County,75.5,85,0.7,74.8
AL-127,Walker County,74.2,82,0.5,73.7
AL-129,Washington County,78,82,0.2,77.8
AL-131,Wilcox County,77.7,106,1.4,76.3
AL-133,Winston County,72.1,58,-0.2,72.3
AZ-001,Apache County,66.7,117,2.7,64
AZ-003,Cochise County,77.4,110,2,75.4
AZ-005,Coconino County,68.6,118,2.7,65.9
AZ-007,Gila County,75.1,117,2.8,72.3
AZ-009,Graham County,75.8,112,2.2,73.6
AZ-011,Greenlee County,71.7,117,2.4,69.3
AZ-012,La Paz County,86.4,114,2.1,84.3
AZ-013,Maricopa County,85.5,112,2.1,83.4
AZ-015,Mohave County,76.3,114,2.2,74.1
AZ-017,Navajo County,68.6,119,3.1,65.5
AZ-019,Pima County,83.5,115,2.3,81.2
AZ-021,Pinal County,83.6,108,1.9,81.7
AZ-023,Santa Cruz County,76.7,108,1.9,74.8
