Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,76.1,81,0.4,75.7
AL-003,Baldwin County,77.8,81,0.5,77.3
AL-005,Barbour County,77.6,106,1.2,76.4
AL-007,Bibb County,74.6,57,-0.1,74.7
AL-009,Blount County,72.8,75,0.1,72.7
AL-011,Bullock County,76.7,93,0.9,75.8
AL-013,Butler County,77.2,85,0.6,76.6
AL-015,Calhoun County,73.8,89,0.7,73.1
AL-017,Chambers County,74.3,75,0.2,74.1
AL-019,Cherokee County,73,82,0.3,72.7
AL-021,Chilton County,74.5,50,-0.3,74.8
AL-023,Choctaw County,76.7,72,0.1,76.6
AL-025,Clarke County,76.7,53,-0.2,76.9
AL-027,Clay County,73.2,69,0.1,73.1
AL-029,Cleburne County,73.3,104,1.1,72.2
AL-031,Coffee County,77.8,89,0.8,77
AL-033,Colbert County,72.6,72,0.2,72.4
AL-035,Conecuh County,77.2,56,-0.2,77.4
AL-037,Coosa County,74.5,61,-0.1,74.6
AL-039,Covington County,77.7,58,-0.1,77.8
AL-041,Crenshaw County,77.2,90,0.7,76.5
AL-043,Cullman County,72.2,52,-0.4,72.6
AL-045,Dale County,78.1,101,1.2,76.9
AL-047,Dallas County,76.6,93,0.8,75.8
AL-049,DeKalb County,70.7,75,0.2,70.5
AL-051,Elmore County,76.2,81,0.4,75.8
AL-053,Escambia County,77.6,48,-0.4,78
AL-055,Etowah County,73,88,0.6,72.4
AL-057,Fayette County,74.5,85,0.6,73.9
AL-059,Franklin County,72,63,0.1,71.9
AL-061,Geneva County,78.5,94,0.8,77.7
AL-063,Greene County,75.4,69,0.1,75.3
AL-065,Hale County,75.3,71,0.2,75.1
AL-067,Henry County,78.4,113,1.5,76.9
AL-069,Houston County,78.9,103,1.2,77.7
AL-071,Jackson County,71,78,0.3,70.7
AL-073,Jefferson County,74.1,75,0.3,73.8
AL-075,Lamar County,75.1,97,1.1,74
AL-077,Lauderdale County,72.3,74,0.3,72
AL-079,Lawrence County,71.8,54,-0.4,72.2
AL-081,Lee County,74.9,56,-0.2,75.1
AL-083,Limestone County,71.4,45,-0.4,71.8
AL-085,Lowndes County,77.2,96,1,76.2
AL-087,Macon County,76.2,76,0.1,76.1
AL-089,Madison County,71.7,59,0,71.7
AL-091,Marengo County,76.6,91,0.8,75.8
AL-093,Marion County,73,72,0.3,72.7
AL-095,Marshall County,71.9,80,0.3,71.6
AL-097,Mobile County,77.8,91,0.7,77.1
AL-099,Monroe County,77.2,76,0.2,77
AL-101,Montgomery County,77.4,100,1.2,76.2
AL-103,Morgan County,72,58,-0.2,72.2
AL-105,Perry County,75.6,86,0.6,75
AL-107,Pickens County,75.3,82,0.5,74.8
AL-109,Pike County,77,89,0.6,76.4
AL-111,Randolph County,73.7,95,0.7,73
AL-113,Russell County,76.6,86,0.4,76.2
AL-115,St. Clair County,73.7,80,0.3,73.4
AL-117,Shelby County,74.3,63,0,74.3
AL-119,Sumter County,76.3,91,0.7,75.6
AL-121,Talladega County,74.2,63,0,74.2
AL-123,Tallapoosa County,74.7,55,-0.1,74.8
AL-125,Tuscaloosa County,74.6,56,-0.1,74.7
AL-127,Walker County,73.7,59,0,73.7
AL-129,Washington County,76.9,28,-0.8,77.7
AL-131,Wilcox County,77,91,0.7,76.3
AL-133,Winston County,72,55,-0.3,72.3
AZ-001,Apache County,69,126,5,64
AZ-003,Cochise County,80.3,126,5,75.3
AZ-005,Coconino County,70.7,126,4.8,65.9
AZ-007,Gila County,77.4,126,5.1,72.3
AZ-009,Graham County,78.3,126,4.6,73.7
AZ-011,Greenlee County,73.8,126,4.5,69.3
AZ-012,La Paz County,88.2,126,3.9,84.3
AZ-013,Maricopa County,88.4,126,5,83.4
AZ-015,Mohave County,78.3,126,4.2,74.1
AZ-017,Navajo County,70.9,126,5.4,65.5
AZ-019,Pima County,86.4,126,5.2,81.2
AZ-021,Pinal County,86.3,126,4.6,81.7
AZ-023,Santa Cruz County,79.6,126,4.8,74.8
AZ-025,Yavapai County,77.9,126,5.3,72.6
AZ-027,Yuma County,90.2,126,4.6,85.6
AR-001,Arkansas County,73.2,84,0.5,72.7
AR-003,Ashley County,75.9,98,1.1,74.8
AR-005,Baxter County,70.1,90,0.9,69.2
AR-007,Benton County,70.4,110,1.8,68.6
AR-009,Boone County,69.8,108,1.5,68.3
AR-011,Bradley County,75.4,95,0.8,74.6
AR-013,Calhoun County,74.9,77,0.2,74.7
AR-015,Carroll County,69.7,107,1.6,68.1
AR-017,Chicot County,74.6,54,-0.2,74.8
AR-019,Clark County,74.4,77,0.3,74.1
AR-021,Clay County,70.6,81,0.5,70.1
AR-023,Cleburne County,70.6,93,0.9,69.7
AR-025,Cleveland County,73.9,67,0,73.9
