Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AL-001,Autauga County,54.7,123,2.6,52.1
AL-003,Baldwin County,58.8,122,2.6,56.2
AL-005,Barbour County,55.7,123,2.5,53.2
AL-007,Bibb County,53.3,124,2.6,50.7
AL-009,Blount County,53.3,124,4.8,48.5
AL-011,Bullock County,55.1,122,2.6,52.5
AL-013,Butler County,55.1,123,2.6,52.5
AL-015,Calhoun County,52.5,125,3.7,48.8
AL-017,Chambers County,52.5,126,3.5,49
AL-019,Cherokee County,52.1,125,3.6,48.5
AL-021,Chilton County,52.9,121,2.3,50.6
AL-023,Choctaw County,55.6,126,3.3,52.3
AL-025,Clarke County,56.3,126,3.5,52.8
AL-027,Clay County,51.5,126,3.3,48.2
AL-029,Cleburne County,51.2,124,3.5,47.7
AL-031,Coffee County,56.1,123,2.4,53.7
AL-033,Colbert County,51.1,125,3.6,47.5
AL-035,Conecuh County,56.6,124,3.2,53.4
AL-037,Coosa County,52.6,124,2.6,50
AL-039,Covington County,56.1,124,2.8,53.3
AL-041,Crenshaw County,54.4,116,2.1,52.3
AL-043,Cullman County,53.2,126,5.2,48
AL-045,Dale County,56.7,121,2.3,54.4
AL-047,Dallas County,55.4,124,2.5,52.9
AL-049,DeKalb County,51.3,125,3.3,48
AL-051,Elmore County,54.5,121,2.8,51.7
AL-053,Escambia County,57.2,125,3.3,53.9
AL-055,Etowah County,53,125,3.7,49.3
AL-057,Fayette County,53.2,126,3.2,50
AL-059,Franklin County,51.3,126,3.5,47.8
AL-061,Geneva County,57.3,126,2.9,54.4
AL-063,Greene County,54.6,124,2.2,52.4
AL-065,Hale County,54.5,123,2.2,52.3
AL-067,Henry County,57,125,2.6,54.4
AL-069,Houston County,58,125,2.7,55.3
AL-071,Jackson County,51.4,126,3.3,48.1
AL-073,Jefferson County,53.1,124,3.4,49.7
AL-075,Lamar County,53.3,126,3.1,50.2
AL-077,Lauderdale County,50.7,124,3.8,46.9
AL-079,Lawrence County,51,124,3,48
AL-081,Lee County,54.6,126,3.7,50.9
AL-083,Limestone County,51.6,124,3.8,47.8
AL-085,Lowndes County,55.5,121,2.6,52.9
AL-087,Macon County,55.3,126,3.3,52
AL-089,Madison County,51.8,125,3.7,48.1
AL-091,Marengo County,54.7,122,2,52.7
AL-093,Marion County,52,126,3.3,48.7
AL-095,Marshall County,52.6,124,3.5,49.1
AL-097,Mobile County,58.6,123,2.8,55.8
AL-099,Monroe County,56.9,125,3.6,53.3
AL-101,Montgomery County,55.2,121,2.5,52.7
AL-103,Morgan County,52.4,124,4.2,48.2
AL-105,Perry County,54.3,122,2.2,52.1
AL-107,Pickens County,54.4,126,3.1,51.3
AL-109,Pike County,54.9,116,2,52.9
AL-111,Randolph County,51.4,126,3.5,47.9
AL-113,Russell County,55.6,126,3.4,52.2
AL-115,St. Clair County,52.9,125,4,48.9
AL-117,Shelby County,52.7,123,2.9,49.8
AL-119,Sumter County,54.7,124,2.3,52.4
AL-121,Talladega County,52.7,126,3.4,49.3
AL-123,Tallapoosa County,52.6,126,3.1,49.5
AL-125,Tuscaloosa County,54.2,125,2.9,51.3
AL-127,Walker County,52.7,125,3.2,49.5
AL-129,Washington County,56.3,123,3.3,53
AL-131,Wilcox County,55.8,124,2.7,53.1
AL-133,Winston County,51.3,125,3.2,48.1
AZ-001,Apache County,36.9,114,1.5,35.4
AZ-003,Cochise County,47.8,124,2.4,45.4
AZ-005,Coconino County,40.1,123,2.5,37.6
AZ-007,Gila County,47.9,125,3.2,44.7
AZ-009,Graham County,49.5,124,2.7,46.8
AZ-011,Greenlee County,45,123,2.8,42.2
AZ-012,La Paz County,59,117,2.7,56.3
AZ-013,Maricopa County,58,120,3.1,54.9
AZ-015,Mohave County,51.6,123,3,48.6
AZ-017,Navajo County,38.4,111,1.6,36.8
AZ-019,Pima County,54.4,123,2.5,51.9
AZ-021,Pinal County,56.4,122,2.8,53.6
AZ-023,Santa Cruz County,47.1,121,2,45.1
AZ-025,Yavapai County,46.4,123,2.6,43.8
AZ-027,Yuma County,59.3,122,3.1,56.2
AR-001,Arkansas County,54.1,123,2.7,51.4
AR-003,Ashley County,54.8,125,3.3,51.5
