Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
NC-021,Buncombe County,66.9,125,3.1,63.8
NC-023,Burke County,71.1,123,2.3,68.8
NC-025,Cabarrus County,73.4,121,2.3,71.1
NC-027,Caldwell County,70.6,120,2.4,68.2
NC-029,Camden County,72.3,125,3,69.3
NC-031,Carteret County,75.5,126,3.8,71.7
NC-033,Caswell County,71.7,124,2.5,69.2
NC-035,Catawba County,71.9,123,2.4,69.5
NC-037,Chatham County,73.1,120,2.2,70.9
NC-039,Cherokee County,70.3,125,3,67.3
NC-041,Chowan County,73.2,126,3,70.2
NC-043,Clay County,68.7,125,3.1,65.6
NC-045,Cleveland County,73.3,125,2.7,70.6
NC-047,Columbus County,75.7,119,1.8,73.9
NC-049,Craven County,75.5,126,3.4,72.1
NC-051,Cumberland County,75.6,125,2.8,72.8
NC-053,Currituck County,71.3,124,3,68.3
NC-055,Dare County,72.4,124,2.9,69.5
NC-057,Davidson County,71.8,118,2.1,69.7
NC-059,Davie County,71.4,117,2.1,69.3
NC-061,Duplin County,74.9,122,2.3,72.6
NC-063,Durham County,72.7,123,2.3,70.4
NC-065,Edgecombe County,73.5,124,2.5,71
NC-067,Forsyth County,70.7,116,2.1,68.6
NC-069,Franklin County,73,125,2.6,70.4
NC-071,Gaston County,73.9,125,3.5,70.4
NC-073,Gates County,72.9,124,2.6,70.3
NC-075,Graham County,67.1,125,2.7,64.4
NC-077,Granville County,72.2,126,2.7,69.5
NC-079,Greene County,74.5,125,2.8,71.7
NC-081,Guilford County,71.3,120,2.3,69
NC-083,Halifax County,72.7,122,2.3,70.4
NC-085,Harnett County,74.8,124,2.7,72.1
NC-087,Haywood County,62.7,122,2.5,60.2
NC-089,Henderson County,67.4,123,2.7,64.7
NC-091,Hertford County,72.5,122,2.1,70.4
NC-093,Hoke County,75.4,125,2.8,72.6
NC-095,Hyde County,74.2,126,2.9,71.3
NC-097,Iredell County,71.6,117,2.2,69.4
NC-099,Jackson County,64.7,123,2.2,62.5
NC-101,Johnston County,74.5,125,2.7,71.8
NC-103,Jones County,75.7,126,3.3,72.4
NC-105,Lee County,73.8,122,2.1,71.7
NC-107,Lenoir County,75,126,2.9,72.1
NC-109,Lincoln County,72.9,125,3,69.9
NC-111,McDowell County,70.8,126,3.1,67.7
NC-113,Macon County,66.7,124,2.5,64.2
NC-115,Madison County,67.3,124,2.9,64.4
NC-117,Martin County,73.6,122,2.5,71.1
NC-119,Mecklenburg County,74,125,3.2,70.8
NC-121,Mitchell County,64.2,125,3.2,61
NC-123,Montgomery County,74.1,122,2.5,71.6
NC-125,Moore County,74.3,125,2.6,71.7
NC-127,Nash County,73.3,123,2.5,70.8
NC-129,New Hanover County,75.5,123,2,73.5
NC-131,Northampton County,72.4,120,2.1,70.3
NC-133,Onslow County,75.6,126,2.9,72.7
NC-135,Orange County,72,123,2.4,69.6
NC-137,Pamlico County,74.8,126,3,71.8
NC-139,Pasquotank County,72.6,124,3,69.6
NC-141,Pender County,75,116,1.6,73.4
NC-143,Perquimans County,73.1,126,3,70.1
NC-145,Person County,71.5,126,2.6,68.9
NC-147,Pitt County,74.3,123,2.6,71.7
NC-149,Polk County,71.9,121,2.6,69.3
NC-151,Randolph County,72.6,121,2.4,70.2
NC-153,Richmond County,75.4,126,2.8,72.6
NC-155,Robeson County,76.2,125,2.6,73.6
NC-157,Rockingham County,71.1,118,2.1,69
NC-159,Rowan County,72.3,118,2.1,70.2
NC-161,Rutherford County,72.7,124,2.6,70.1
NC-163,Sampson County,75,123,2.4,72.6
NC-165,Scotland County,76,126,3.1,72.9
NC-167,Stanly County,74.1,121,2.3,71.8
NC-169,Stokes County,70,113,1.9,68.1
NC-171,Surry County,69.6,119,2.2,67.4
NC-173,Swain County,63.9,119,1.9,62
NC-175,Transylvania County,66.2,125,2.8,63.4
NC-177,Tyrrell County,73.6,125,3.1,70.5
NC-179,Union County,74.7,125,3.1,71.6
NC-181,Vance County,72.5,126,2.9,69.6
NC-183,Wake County,73.2,122,2.3,70.9
NC-185,Warren County,72.7,125,2.8,69.9
NC-187,Washington County,73.9,125,3.1,70.8
NC-189,Watauga County,63.2,124,3.1,60.1
NC-191,Wayne County,74.7,126,2.9,71.8
NC-193,Wilkes County,70,122,2.5,67.5
NC-195,Wilson County,74,125,2.7,71.3
NC-197,Yadkin County,70.6,117,2.3,68.3
NC-199,Yancey County,64,125,3.4,60.6
ND-001,Adams County,50.6,9,-3.5,54.1
ND-003,Barnes County,48,9,-3.1,51.1
ND-005,Benson County,47.3,17,-2.4,49.7
ND-007,Billings County,51,17,-2.5,53.5
ND-009,Bottineau County,47.1,15,-2.4,49.5
ND-011,Bowman County,51.5,13,-3.1,54.6
ND-013,Burke County,47.1,17,-2,49.1
ND-015,Burleigh County,48.6,11,-2.9,51.5
ND-017,Cass County,48.8,11,-2.7,51.5
ND-019,Cavalier County,46,31,-1.2,47.2
ND-021,Dickey County,48.2,3,-4.3,52.5
ND-023,Divide County,48.3,32,-1.4,49.7
ND-025,Dunn County,50.2,15,-2.5,52.7
ND-027,Eddy County,47,10,-3,50
ND-029,Emmons County,48.9,2,-4.4,53.3
ND-031,Foster County,47,8,-3.5,50.5
ND-033,Golden Valley County,51,11,-3.1,54.1
ND-035,Grand Forks County,47.4,12,-2.6,50
ND-037,Grant County,50,5,-3.8,53.8
ND-039,Griggs County,46.6,7,-3.5,50.1
ND-041,Hettinger County,50.2,10,-3.4,53.6
ND-043,Kidder County,47.7,11,-3.1,50.8
ND-045,LaMoure County,48.1,4,-4.1,52.2
ND-047,Logan County,47.4,3,-4.4,51.8
ND-049,McHenry County,48.3,17,-2.4,50.7
ND-051,McIntosh County,46.8,1,-5.6,52.4
ND-053,McKenzie County,50.5,20,-2.2,52.7
ND-055,McLean County,48.9,16,-2.4,51.3
ND-057,Mercer County,49.7,12,-2.9,52.6
ND-059,Morton County,49.6,7,-3.4,53
ND-061,Mountrail County,48.1,15,-2.4,50.5
ND-063,Nelson County,46.1,10,-2.9,49
ND-065,Oliver County,48.9,10,-3.3,52.2
ND-067,Pembina County,47.4,47,-0.7,48.1
ND-069,Pierce County,47.4,16,-2.3,49.7
ND-071,Ramsey County,46.6,14,-2.4,49
ND-073,Ransom County,48.9,9,-3.2,52.1
ND-075,Renville County,47.6,14,-2.6,50.2
ND-077,Richland County,49.4,10,-3,52.4
ND-079,Rolette County,46,21,-1.7,47.7
ND-081,Sargent County,48.4,2,-4.2,52.6
ND-083,Sheridan County,48.6,22,-1.8,50.4
ND-085,Sioux County,50.1,3,-4.2,54.3
ND-087,Slope County,51.4,14,-3,54.4
ND-089,Stark County,50.2,11,-3,53.2
ND-091,Steele County,46.3,3,-4.1,50.4
ND-093,Stutsman County,47.5,8,-3.6,51.1
ND-095,Towner County,46.8,29,-1.3,48.1
ND-097,Traill County,47.3,5,-3.6,50.9
ND-099,Walsh County,46.9,20,-1.7,48.6
ND-101,Ward County,48,16,-2.7,50.7
ND-103,Wells County,47.3,13,-2.9,50.2
ND-105,Williams County,49.3,26,-1.8,51.1
